bichoice,range,home_chg,work_chg,town,highway,gender,state,Region,education,employment,hsincome,hsize,housit,residence,all_cars,ev_cars,home_parking,home_evse,work_parking,work_evse,buycar,zipcode,dmileage,long_dist,Age_category,RUCA
0,2,0,2,3,3,1,Georgia,2,1,6,1,2,2,5,1,0,6,2,2,2,3,31632,5,1,4,1
0,1,1,0,2,3,1,Georgia,2,1,6,1,2,2,5,1,0,6,2,2,2,3,31632,5,1,4,1
0,4,0,10,3,4,1,Georgia,2,1,6,1,2,2,5,1,0,6,2,2,2,3,31632,5,1,4,1
0,4,10,2,1,2,1,Georgia,2,1,6,1,2,2,5,1,0,6,2,2,2,3,31632,5,1,4,1
0,2,1,10,2,1,1,Georgia,2,1,6,1,2,2,5,1,0,6,2,2,2,3,31632,5,1,4,1
1,3,0,5,1,1,0,Florida,2,1,2,2,5,1,1,2,0,3,2,2,2,1,32046,90,2,1,1
0,1,1,10,4,3,0,Florida,2,1,2,2,5,1,1,2,0,3,2,2,2,1,32046,90,2,1,1
1,3,2,20,3,1,0,Florida,2,1,2,2,5,1,1,2,0,3,2,2,2,1,32046,90,2,1,1
0,2,20,20,3,2,0,Florida,2,1,2,2,5,1,1,2,0,3,2,2,2,1,32046,90,2,1,1
0,2,20,10,1,4,0,Florida,2,1,2,2,5,1,1,2,0,3,2,2,2,1,32046,90,2,1,1
1,4,10,0,3,3,0,Florida,2,1,2,2,5,1,1,2,0,3,2,2,2,1,32046,90,2,1,1
1,1,0,0,2,1,1,Florida,2,1,4,1,2,2,5,1,0,4,2,1,2,1,32084,15,0,2,1
1,3,3,2,3,3,1,Florida,2,1,4,1,2,2,5,1,0,4,2,1,2,1,32084,15,0,2,1
1,4,3,5,2,2,1,Florida,2,1,4,1,2,2,5,1,0,4,2,1,2,1,32084,15,0,2,1
1,1,1,1,3,2,1,Florida,2,1,4,1,2,2,5,1,0,4,2,1,2,1,32084,15,0,2,1
1,2,3,20,3,3,1,Florida,2,1,4,1,2,2,5,1,0,4,2,1,2,1,32084,15,0,2,1
1,1,20,20,3,3,1,Florida,2,1,4,1,2,2,5,1,0,4,2,1,2,1,32084,15,0,2,1
1,3,0,1,1,2,1,Florida,2,3,1,1,1,2,1,1,0,3,1,2,2,2,32303,5,1,2,1
0,3,20,20,2,1,1,Florida,2,3,1,1,1,2,1,1,0,3,1,2,2,2,32303,5,1,2,1
1,3,5,2,4,1,1,Florida,2,3,1,1,1,2,1,1,0,3,1,2,2,2,32303,5,1,2,1
1,3,0,2,4,4,1,Florida,2,3,1,1,1,2,1,1,0,3,1,2,2,2,32303,5,1,2,1
1,2,5,0,4,3,1,Florida,2,3,1,1,1,2,1,1,0,3,1,2,2,2,32303,5,1,2,1
1,2,0,2,3,3,1,Florida,2,3,1,1,1,2,1,1,0,3,1,2,2,2,32303,5,1,2,1
